respondent;block;trial_nr;sound;salience;arousal;responseTime
5;VA;13;S3;high;S3;643.443328910507
5;VA;14;S2;high;S2;501.277034985833
5;VA;15;S4;high;S4;634.2012694804
5;VA;16;S2;high;S2;809.626769972965
5;VA;17;S4;low;S4;1018.81399506237
5;VA;18;S1;low;S1;1318.90557019506
5;VA;19;S4;low;S4;1151.77556255367
5;VA;20;S1;high;S1;609.802888240665
5;VA;21;S4;high;S4;617.299370118417
5;VA;22;S1;low;S1;1242.85867786966
5;VA;23;S4;low;S4;1126.17007235531
5;VA;24;S3;high;S3;559.347066679038
5;VA;25;S2;low;S2;858.627581386827
5;VA;26;S1;low;S1;642.965305014513
5;VA;27;S3;low;S3;1168.22314157616
5;VA;28;S2;low;S2;1410.24231468327
5;VA;29;S3;low;S3;1227.19470271841
5;VA;30;S1;high;S1;659.296933561563
5;VA;31;S3;high;S3;609.725851449184
5;VA;32;S1;low;S1;1051.74668366089
5;VO;1;visual only;high;visual only;685.538472374901
5;VO;2;visual only;high;visual only;551.369400229305
5;VO;3;visual only;low;visual only;851.270555984229
5;VO;5;visual only;high;visual only;601.455642143264
5;VO;6;visual only;low;visual only;766.861010575667
5;VO;7;visual only;high;visual only;584.456162992865
5;VO;8;visual only;high;visual only;517.94288540259
5;VO;9;visual only;high;visual only;567.888880381361
5;VO;10;visual only;high;visual only;717.460989719257
5;VO;11;visual only;low;visual only;800.257895840332
5;VO;12;visual only;high;visual only;567.757325014099
5;VO;13;visual only;high;visual only;666.699193418026
5;VO;14;visual only;low;visual only;2018.14910699613
5;VO;15;visual only;low;visual only;1735.93009635806
5;VO;16;visual only;low;visual only;1285.37278366275
5;VO;17;visual only;low;visual only;701.355533674359
5;VO;18;visual only;low;visual only;1203.03375320509
5;VO;19;visual only;low;visual only;1051.66569608264
5;VO;20;visual only;high;visual only;667.912031058222
5;VO;21;visual only;low;visual only;801.576214842498
5;VO;22;visual only;high;visual only;650.138626806438
5;VO;23;visual only;high;visual only;634.76008339785
5;VO;24;visual only;high;visual only;666.332576656714
5;VO;25;visual only;low;visual only;1100.61574215069
5;VO;26;visual only;high;visual only;650.108207250014
5;VO;27;visual only;high;visual only;434.360597515479
5;VO;28;visual only;low;visual only;752.05807085149
5;VO;29;visual only;high;visual only;518.271181033924
5;VO;30;visual only;low;visual only;767.031676601619
5;VO;31;visual only;low;visual only;868.209986016154
5;VO;32;visual only;low;visual only;716.852595563978
6;VA;1;S2;high;S2;767.807181691751
6;VA;2;S3;high;S3;584.283125936054
6;VA;3;S2;high;S2;684.913287987001
6;VA;4;S1;high;S1;625.658863224089
6;VA;5;S3;high;S3;909.276587772183
6;VA;6;S4;high;S4;584.509100881405
6;VA;7;S1;high;S1;734.768024063669
6;VA;8;S4;high;S4;975.700384005904
6;VA;9;S2;high;S2;626.118516782299
6;VA;10;S3;high;S3;659.570513409562
6;VA;11;S1;high;S1;775.690231006593
6;VA;12;S4;high;S4;608.676964067854
6;VA;13;S3;high;S3;642.084121122025
6;VA;14;S1;high;S1;676.191721460782
6;VA;15;S3;low;S3;1135.01845323481
6;VA;16;S4;high;S4;1043.5094620334
6;VA;17;S2;high;S2;743.642874178477
6;VA;18;S3;low;S3;967.939408728853
6;VA;19;S2;low;S2;901.814278680831
6;VA;20;S3;low;S3;1067.5343129551
6;VA;21;S2;low;S2;1010.32413193025
6;VA;22;S3;low;S3;1018.54732865468
6;VA;23;S2;low;S2;942.70705350209
6;VA;24;S1;low;S1;834.489940549247
6;VA;25;S4;low;S4;734.989850898273
6;VA;26;S2;low;S2;1085.1171000395
6;VA;27;S4;low;S4;1276.61467413418
6;VA;28;S1;low;S1;817.560979747213
